,timestamp,contributors,commits,additions,deletions,BTC_price,EUR_price
0,1497744000,16,181,13083,10133,0,0
1,1498348800,19,192,26090,15108,0,0
2,1498953600,16,166,15650,13620,0,0
3,1499558400,20,187,13378,11460,0,0
4,1500163200,22,180,12702,9809,0,0
5,1500768000,15,125,6862,4200,0,0
6,1501372800,20,148,15813,24860,0,0
7,1501977600,20,242,38845,40151,0,0
8,1502582400,20,180,40458,37373,0,0
9,1503187200,19,150,5659,4863,0,0
10,1503792000,17,174,9781,6512,0,0
11,1504396800,16,149,41757,10375,0,0
12,1505001600,17,137,24125,7932,0,0
13,1505606400,20,150,116962,33268,0,0
14,1506211200,17,155,112974,96637,0,0
15,1506816000.0,17.0,61.0,2592.0,1344.0,5.72e-06,0.02115
16,1507420800.0,13.0,96.0,6832.0,20004.0,4.45e-06,0.01728
17,1508025600.0,13.0,85.0,14356.0,13806.0,5.28e-06,0.02524
18,1508630400.0,11.0,63.0,8952.0,5982.0,4.63e-06,0.02362
19,1509235200.0,12.0,89.0,24465.0,24052.0,4.61e-06,0.02432
20,1509840000.0,16.0,54.0,13407.0,29111.0,2.8e-06,0.01796
21,1510444800.0,17.0,103.0,24170.0,15059.0,4.1e-06,0.02082
22,1511049600.0,15.0,97.0,19951.0,16043.0,3.49e-06,0.02371
23,1511654400.0,17.0,77.0,6315.0,6299.0,3.92e-06,0.03018
24,1512259200.0,17.0,74.0,19036.0,16958.0,1.172e-05,0.1115
25,1512864000.0,10.0,63.0,7392.0,6330.0,7.2e-06,0.09122
26,1513468800.0,13.0,59.0,1738.0,1045.0,2.526e-05,0.404
27,1514073600.0,10.0,25.0,1056.0,464.0,2.775e-05,0.3299
28,1514678400.0,11.0,35.0,1472.0,754.0,5.138e-05,0.6089
29,1515283200.0,17.0,44.0,91061.0,18327.0,6.161e-05,0.8311
30,1515888000.0,8.0,13.0,553.0,852.0,5.817e-05,0.6573
31,1516492800.0,14.0,56.0,6290.0,8800.0,5.354e-05,0.5098
32,1517097600.0,20.0,104.0,7668.0,7266.0,5.414e-05,0.509
33,1517702400.0,14.0,53.0,7178.0,4961.0,4.685e-05,0.3066
34,1518307200.0,17.0,35.0,4114.0,2879.0,4.329e-05,0.286
35,1518912000.0,11.0,47.0,3483.0,1907.0,3.493e-05,0.2942
36,1519516800.0,18.0,38.0,5217.0,1752.0,3.41e-05,0.2658
37,1520121600.0,21.0,108.0,9529.0,5049.0,2.581e-05,0.24
38,1520726400.0,13.0,102.0,5738.0,8925.0,2.291e-05,0.1775
39,1521331200.0,11.0,71.0,5701.0,3504.0,1.878e-05,0.1255
40,1521936000.0,10.0,34.0,2525.0,5336.0,2.148e-05,0.1475
41,1522540800.0,10.0,35.0,3197.0,933.0,2.164e-05,0.1196
42,1523145600.0,9.0,33.0,3853.0,1235.0,2.217e-05,0.1269
43,1523750400.0,12.0,29.0,4765.0,1958.0,2.709e-05,0.1836
44,1524355200.0,12.0,53.0,4109.0,2538.0,3.206e-05,0.2299
45,1524960000.0,14.0,97.0,8959.0,8170.0,3.847e-05,0.2981
46,1525564800.0,16.0,59.0,17610.0,14405.0,3.583e-05,0.2876
47,1526169600.0,9.0,50.0,16609.0,14623.0,3.193e-05,0.2325
48,1526774400.0,18.0,39.0,5217.0,4003.0,2.995e-05,0.2167
49,1527379200.0,12.0,34.0,107526.0,101167.0,2.614e-05,0.1643
50,1527984000.0,14.0,39.0,33482.0,36990.0,2.938e-05,0.1944
51,1528588800.0,3.0,7.0,4855.0,1805.0,2.564e-05,0.1475
